date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-2,-7,0.0,8.7,2,2,31,10:06 AM,09:27 PM,07:41 AM,04:14 PM,-8,-7,-5,-7,11,12,77,0.0,1027,-2,10,104,7
2009-01-02,-1,-6,0.0,5.1,1,1,38,10:22 AM,10:35 PM,07:41 AM,04:15 PM,-7,-6,-4,-6,9,47,80,0.0,1026,-1,10,211,5
2009-01-03,-1,-7,0.0,8.7,2,2,45,10:39 AM,11:47 PM,07:41 AM,04:16 PM,-8,-8,-5,-8,15,15,77,0.0,1027,-1,9,164,9
2009-01-04,-1,-8,0.0,8.7,2,2,52,10:57 AM,No moonset,07:40 AM,04:17 PM,-10,-8,-5,-8,15,16,69,0.0,1021,-1,10,231,8
2009-01-05,-1,-6,0.0,8.7,2,2,60,11:18 AM,01:01 AM,07:40 AM,04:18 PM,-10,-7,-4,-7,14,46,64,0.0,1018,-1,10,195,8
2009-01-06,-3,-7,0.0,8.7,2,2,67,11:44 AM,02:19 AM,07:40 AM,04:19 PM,-10,-8,-5,-8,11,49,72,0.0,1023,-3,10,109,6
2009-01-07,-3,-8,0.0,8.7,2,2,74,12:19 PM,03:41 AM,07:40 AM,04:20 PM,-10,-8,-6,-8,11,23,76,0.0,1022,-3,10,201,7
2009-01-08,-2,-8,0.0,8.7,2,2,82,01:07 PM,05:01 AM,07:39 AM,04:21 PM,-8,-10,-6,-10,19,2,82,0.0,1031,-2,9,200,11
2009-01-09,-2,-8,0.0,8.7,2,2,89,02:10 PM,06:14 AM,07:39 AM,04:23 PM,-12,-11,-6,-11,20,4,67,0.0,1034,-2,10,192,11
2009-01-10,-4,-11,0.0,8.7,2,2,96,03:28 PM,07:14 AM,07:39 AM,04:24 PM,-15,-9,-7,-9,9,2,54,0.0,1035,-4,10,153,5
