date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,-6,-11,0.0,8.2,2,2,31,09:57 AM,09:15 PM,07:36 AM,03:59 PM,-13,-13,-9,-13,11,7,73,0.0,1027,-6,10,259,8
2009-01-02,-4,-11,0.0,6.9,1,1,38,10:12 AM,10:25 PM,07:36 AM,04:00 PM,-9,-11,-8,-11,14,33,93,0.0,1025,-4,3,238,8
2009-01-03,-4,-11,0.0,8.7,2,2,45,10:28 AM,11:37 PM,07:36 AM,04:01 PM,-10,-11,-8,-11,12,4,88,0.0,1027,-4,6,201,6
2009-01-04,-6,-12,0.0,5.1,1,1,52,10:45 AM,No moonset,07:36 AM,04:02 PM,-10,-13,-9,-13,14,63,91,0.0,1018,-6,6,251,8
2009-01-05,-5,-7,0.3,3.3,1,1,60,11:04 AM,12:53 AM,07:36 AM,04:03 PM,-7,-9,-6,-9,9,96,91,0.4,1017,-5,7,172,6
2009-01-06,-5,-10,0.0,8.7,2,2,67,11:29 AM,02:13 AM,07:35 AM,04:04 PM,-9,-10,-8,-10,8,61,88,0.0,1024,-5,8,121,5
2009-01-07,-6,-13,0.0,3.3,1,1,74,12:02 PM,03:36 AM,07:35 AM,04:05 PM,-11,-14,-10,-14,13,63,94,0.0,1021,-6,5,219,8
2009-01-08,-3,-13,0.0,8.7,2,2,82,12:48 PM,04:58 AM,07:35 AM,04:06 PM,-10,-13,-9,-13,15,16,91,0.0,1029,-3,8,284,8
2009-01-09,-5,-14,0.0,8.7,2,2,89,01:52 PM,06:11 AM,07:34 AM,04:08 PM,-12,-14,-10,-14,10,6,88,0.0,1034,-5,7,224,5
2009-01-10,-2,-14,0.0,8.7,2,2,96,03:11 PM,07:11 AM,07:34 AM,04:09 PM,-11,-10,-9,-10,6,3,87,0.0,1034,-2,6,238,3
2009-01-11,-5,-14,0.0,8.7,2,2,100,04:38 PM,07:55 AM,07:33 AM,04:10 PM,-12,-12,-9,-12,9,2,85,0.0,1038,-5,9,214,5
2009-01-12,-4,-14,0.0,8.7,2,2,89,06:06 PM,08:26 AM,07:33 AM,04:11 PM,-12,-13,-10,-13,11,2,86,0.0,1038,-4,10,160,6
2009-01-13,-4,-12,0.0,8.7,2,2,82,07:32 PM,08:51 AM,07:32 AM,04:13 PM,-11,-12,-9,-12,12,19,82,0.0,1028,-4,10,142,6
2009-01-14,-1,-9,0.9,3.3,2,2,75,08:52 PM,09:10 AM,07:32 AM,04:14 PM,-7,-7,-5,-7,10,76,89,1.4,1018,-1,6,150,5
2009-01-15,2,-4,0.0,6.9,1,1,68,10:09 PM,09:28 AM,07:31 AM,04:15 PM,-3,-4,-2,-4,10,61,97,0.3,1019,2,5,139,5
2009-01-16,1,-6,0.1,8.7,2,2,60,11:23 PM,09:44 AM,07:30 AM,04:17 PM,-4,-6,-3,-6,15,30,93,0.1,1025,1,6,263,8
2009-01-17,-4,-9,0.0,5.1,1,1,53,No moonrise,10:01 AM,07:29 AM,04:18 PM,-8,-10,-7,-10,12,44,95,0.0,1026,-4,4,145,6
2009-01-18,-2,-9,0.3,6.9,1,1,46,12:35 AM,10:20 AM,07:29 AM,04:20 PM,-7,-10,-6,-10,14,64,95,0.4,1016,-2,5,179,8
2009-01-19,2,-5,0.2,6.9,2,2,38,01:47 AM,10:43 AM,07:28 AM,04:21 PM,-3,-5,-2,-5,15,61,94,0.9,1010,2,6,192,9
2009-01-20,2,-1,0.3,3.4,1,1,31,02:57 AM,11:11 AM,07:27 AM,04:23 PM,1,-3,1,-3,21,98,98,0.9,1005,2,6,114,13
2009-01-21,3,2,0.0,3.4,1,1,24,04:02 AM,11:47 AM,07:26 AM,04:24 PM,3,0,3,0,16,100,99,8.1,1007,3,2,92,9
2009-01-22,2,0,0.0,3.4,1,1,17,05:01 AM,12:31 PM,07:25 AM,04:26 PM,2,1,2,1,6,100,99,2.2,1007,2,3,157,4
2009-01-23,2,0,0.0,3.4,1,1,9,05:51 AM,01:26 PM,07:24 AM,04:27 PM,1,-1,1,-1,16,99,98,0.9,995,2,1,151,10
2009-01-24,3,-1,0.1,3.4,1,1,2,06:31 AM,02:28 PM,07:23 AM,04:29 PM,1,-1,1,-1,10,78,97,0.3,990,3,3,225,6
2009-01-25,4,-3,0.0,8.7,2,2,0,07:02 AM,03:36 PM,07:22 AM,04:30 PM,-1,-3,0,-3,16,22,92,0.0,1000,4,6,30,8
2009-01-26,4,-3,0.0,8.7,1,1,0,07:27 AM,04:46 PM,07:21 AM,04:32 PM,-2,-2,0,-2,10,24,90,0.0,1005,4,6,120,5
2009-01-27,5,-2,0.0,8.7,2,2,5,07:48 AM,05:56 PM,07:19 AM,04:34 PM,-1,-2,1,-2,15,21,88,0.0,1010,5,7,51,8
2009-01-28,3,0,0.0,5.2,2,2,12,08:05 AM,07:06 PM,07:18 AM,04:35 PM,-1,-3,1,-3,26,67,86,0.0,1010,3,10,34,16
2009-01-29,1,-1,0.6,3.5,1,1,20,08:20 AM,08:16 PM,07:17 AM,04:37 PM,-2,-4,0,-4,25,75,89,0.7,1016,1,9,34,15
2009-01-30,1,-4,0.0,8.7,2,2,27,08:35 AM,09:28 PM,07:16 AM,04:38 PM,-5,-6,-2,-6,15,26,82,0.0,1021,1,9,35,9
2009-01-31,0,-4,0.1,3.5,1,1,31,08:51 AM,10:41 PM,07:14 AM,04:40 PM,-6,-3,-2,-3,7,75,78,0.2,1018,0,9,199,4
2009-02-01,-1,-3,0.5,3.5,1,1,43,09:10 AM,11:58 PM,07:13 AM,04:42 PM,-5,-7,-3,-7,15,90,85,0.6,1017,-1,8,116,11
2009-02-02,3,-2,0.0,8.7,2,2,50,09:32 AM,No moonset,07:12 AM,04:43 PM,-2,-4,0,-4,19,42,89,0.0,1019,3,8,99,12
2009-02-03,1,-1,0.0,3.5,1,1,58,10:00 AM,01:17 AM,07:10 AM,04:45 PM,-1,-4,0,-4,20,93,92,0.0,1010,1,8,115,13
2009-02-04,2,1,0.0,3.5,1,1,66,10:39 AM,02:37 AM,07:09 AM,04:47 PM,1,-1,1,-1,12,100,99,1.0,1001,2,1,125,7
2009-02-05,3,0,0.0,3.5,1,1,73,11:32 AM,03:52 AM,07:07 AM,04:48 PM,1,0,1,0,10,91,97,0.0,1004,3,2,167,6
2009-02-06,6,2,0.0,3.5,1,1,81,12:41 PM,04:56 AM,07:06 AM,04:50 PM,3,1,4,1,19,98,98,0.3,1001,6,3,131,11
2009-02-07,6,4,0.0,3.6,1,1,88,02:03 PM,05:46 AM,07:04 AM,04:52 PM,5,2,5,2,20,96,97,0.1,995,6,5,123,12
2009-02-08,9,3,0.0,5.3,2,2,96,03:31 PM,06:22 AM,07:03 AM,04:53 PM,5,4,6,4,15,89,95,0.1,993,9,4,75,10
2009-02-09,0,-5,0.7,7.0,1,1,100,04:58 PM,06:50 AM,07:01 AM,04:55 PM,-3,-5,-1,-5,17,48,91,0.8,1007,0,8,257,12
2009-02-10,-1,-4,1.2,5.4,2,2,89,06:22 PM,07:12 AM,06:59 AM,04:57 PM,-4,-6,-2,-6,15,63,90,1.4,1005,-1,8,146,10
2009-02-11,1,-3,0.0,3.8,1,1,82,07:42 PM,07:31 AM,06:58 AM,04:58 PM,-2,-5,-1,-5,20,88,92,0.1,1002,1,8,273,13
2009-02-12,-1,-5,0.0,7.1,1,1,74,09:00 PM,07:48 AM,06:56 AM,05:00 PM,-5,-9,-3,-9,23,60,92,0.0,1008,-1,9,336,15
2009-02-13,-2,-5,0.4,3.9,1,1,67,10:15 PM,08:05 AM,06:54 AM,05:02 PM,-5,-9,-4,-9,20,75,88,0.5,1009,-2,9,326,14
2009-02-14,-1,-4,0.4,5.5,1,1,59,11:30 PM,08:24 AM,06:53 AM,05:03 PM,-4,-7,-3,-7,19,77,89,0.4,1012,-1,9,323,13
2009-02-15,-2,-6,0.1,4.0,1,1,51,No moonrise,08:45 AM,06:51 AM,05:05 PM,-6,-8,-4,-8,19,54,86,0.1,1021,-2,10,326,13
2009-02-16,-3,-8,0.4,4.0,1,1,44,12:41 AM,09:12 AM,06:49 AM,05:07 PM,-6,-9,-5,-9,11,91,95,0.5,1020,-3,3,254,8
2009-02-17,-3,-6,1.8,4.0,1,1,36,01:50 AM,09:45 AM,06:47 AM,05:08 PM,-5,-8,-5,-8,13,94,96,2.1,1013,-3,5,104,9
2009-02-18,-2,-9,0.0,5.6,1,1,29,02:52 AM,10:26 AM,06:46 AM,05:10 PM,-8,-11,-6,-11,20,50,88,0.0,1019,-2,9,246,13
2009-02-19,-3,-10,0.0,5.6,1,1,21,03:46 AM,11:17 AM,06:44 AM,05:11 PM,-8,-11,-7,-11,17,40,93,0.0,1022,-3,5,342,11
2009-02-20,-2,-12,0.4,4.0,1,1,14,04:29 AM,12:17 PM,06:42 AM,05:13 PM,-7,-10,-6,-10,12,74,95,0.5,1025,-2,4,287,7
2009-02-21,-1,-10,0.2,4.0,1,1,6,05:04 AM,01:23 PM,06:40 AM,05:15 PM,-7,-8,-6,-8,11,58,92,0.3,1027,-1,4,111,6
2009-02-22,-3,-12,0.4,7.1,2,2,0,05:31 AM,02:32 PM,06:38 AM,05:16 PM,-9,-11,-7,-11,12,50,91,0.5,1024,-3,7,142,7
2009-02-23,-3,-6,2.9,4.1,1,1,0,05:53 AM,03:43 PM,06:36 AM,05:18 PM,-4,-8,-4,-8,12,100,98,3.5,1014,-3,2,176,9
2009-02-24,0,-4,0.0,4.1,1,1,0,06:11 AM,04:53 PM,06:35 AM,05:20 PM,-3,-5,-3,-5,10,86,97,0.0,1019,0,3,189,6
2009-02-25,1,-9,0.0,7.2,1,1,1,06:27 AM,06:04 PM,06:33 AM,05:21 PM,-4,-6,-3,-6,12,49,98,0.0,1028,1,1,197,7
2009-02-26,1,-3,0.3,4.1,1,1,9,06:43 AM,07:17 PM,06:31 AM,05:23 PM,-1,-4,-1,-4,13,100,99,0.4,1020,1,2,265,9
2009-02-27,2,-1,0.6,5.6,1,1,16,06:59 AM,08:30 PM,06:29 AM,05:24 PM,0,-3,0,-3,18,81,99,0.7,1013,2,4,276,12
